Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C16, C4, C6, C8",CP_Elec_6.3x7.7,8,220uF,
"C11, C13, C17, C3",0805,4,100nF,
"C15, C5, C7, C9",CP_Elec_10x10.5,4,680uF,
"C18, C19",0805,2,27p,
C20,CP_Elec_4x4.5,1,22uF,
C21,CP_Elec_4x4.5,1,10uF,
"C23, C24",0805,2,20p,
"D1, D2, D3, D4, D5, D6, D7, D8",D_SMA,8,"5A, 40V Schottky Rectifier, IN5825",
"F1, F2, F3, F4",1812,4,Polyfuse,
"F5, F6, F7, F8",2920,4,Polyfuse,
IC1,FE1.1S_SSOP-28,1,FE1.1S,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,
"J10, J7, J8, J9",BarrelJack_Horizontal,4,Barrel_Jack_Switch,
"J12, J3",USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked,2,USB_A_Stacked,
J2,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"L1, L2, L3, L4, L5, L6, L7, L8",L_10.4x10.4_H4.8,8,33uH,
R1,0805,1,2.7k,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U10,SOP65P640X121-20N,1,CH32V003F4P6,
U12,XCVR_HC-05,1,HC-05,
"U2, U3, U4, U5",TO-263-5_TabPin3,4,LM2596S-5,
"U6, U7, U8, U9",TO-263-5_TabPin3,4,LM2596S-12,
"Y1, Y2",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,Crystal,
