Designator,Mid X,Mid Y,Rotation,Layer
C1,155.676,-72.96,0.0,top
C10,155.406,-142.516,0.0,top
C11,113.45,-67.25,180.0,top
C12,155.324,-119.148,0.0,top
C13,101.092,-97.47,270.0,top
C14,134.354,-119.088,0.0,top
C15,128.05,-83.4,90.0,top
C16,134.272,-141.694,0.0,top
C17,112.0,-54.25,180.0,top
C18,104.648,-90.49,270.0,top
C19,98.298,-90.612,90.0,top
C20,105.41,-124.482,270.0,top
C21,117.602,-123.422,90.0,top
C23,117.0,-67.7,270.0,top
C24,119.3,-70.5,180.0,top
C3,114.25,-89.154,180.0,top
C4,155.825,-95.56,0.0,top
C5,128.4,-60.7,90.0,top
C6,134.376,-73.476,0.0,top
C7,128.258,-105.88,90.0,top
C8,134.276,-96.676,0.0,top
C9,128.176,-128.486,90.0,top
D1,156.963,-67.46,180.0,top
D2,156.876,-90.16,180.0,top
D3,135.476,-68.076,180.0,top
D4,135.476,-91.076,180.0,top
D5,156.614,-136.928,180.0,top
D6,156.532,-113.814,180.0,top
D7,135.402,-113.754,180.0,top
D8,135.542,-136.36,180.0,top
F1,154.25,-59.1125,90.0,bottom
F2,154.25,-81.3625,90.0,bottom
F3,136.75,-58.3625,90.0,bottom
F4,136.652,-80.772,270.0,bottom
F5,163.322,-129.1175,90.0,bottom
F6,163.83,-105.4955,90.0,bottom
F7,140.462,-106.2575,90.0,bottom
F8,141.478,-128.1845,90.0,bottom
IC1,115.8,-60.7,90.0,top
L1,166.276,-71.26,0.0,top
L2,166.276,-93.96,0.0,top
L3,144.876,-71.676,0.0,top
L4,144.876,-94.676,0.0,top
L5,166.066,-140.484,0.0,top
L6,165.898,-117.624,0.0,top
L7,144.854,-117.31,0.0,top
L8,144.854,-140.17,0.0,top
R1,119.5875,-54.5,0.0,top
U1,111.506,-123.038,270.0,top
U10,106.0,-96.8425,270.0,top
U2,165.508,-59.977,0.0,top
U3,165.576,-82.56,0.0,top
U4,144.201,-60.451,0.0,top
U5,144.201,-83.451,0.0,top
U6,165.525,-105.625,0.0,top
U7,165.381,-129.327,0.0,top
U8,144.103,-106.134,0.0,top
U9,144.087,-128.759,0.0,top
Y1,101.233,-90.616,180.0,top
Y2,119.95,-67.625,270.0,top
